dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,task,train_accuracy,test_accuracy,overfitting_gap,training_samples,features,model_saved,train_r2,test_r2,rmse,mae,mse,r2_score,mape
regression__hard__bharatsahu_house-price-prediction-dataset-insurancehub-usa__House_price_multifeatures,regression__hard__bharatsahu_house-price-prediction-dataset-insurancehub-usa__House_price_multifeatures.json,classification,TTTerritory,decision_tree,failed,Input contains NaN,,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__bjaton_housepricesadvancedregressiontechniquestrain__train,regression__hard__bjaton_housepricesadvancedregressiontechniquestrain__train.json,regression,SalePrice,ridge,failed,"Input X contains NaN.
Ridge does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__bobnau_daily-website-visitors__daily-website-visitors,regression__hard__bobnau_daily-website-visitors__daily-website-visitors.json,regression,Returning.Visits,linear,failed,"could not convert string to float: '1,036'",,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__deepcontractor_car-price-prediction-challenge__car_price_prediction,regression__hard__deepcontractor_car-price-prediction-challenge__car_price_prediction.json,regression,Price,random_forest,success,,,,,,19237.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/hard/deepcontractor_car-price-prediction-challenge/car_price_prediction_preprocessed.csv,/home/joshua/Code/ai_projects/amalia/backend/models/car_price_prediction_model.pkl,4.0,"['1:handle_missing_values', '1:encode_categorical', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,,,85477.0567,3065.5139,7306327215.1562,0.7988,628.093
regression__hard__kanchana1990_colorado-real-estate-market-2026__colorado_real_estate_2026,regression__hard__kanchana1990_colorado-real-estate-market-2026__colorado_real_estate_2026.json,regression,garage,linear,failed,"Input X contains NaN.
LinearRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__milanvaddoriya_old-car-price-prediction__car_price,regression__hard__milanvaddoriya_old-car-price-prediction__car_price.json,regression,,,failed,get_column_info: Column 'None' not found,,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__spittman1248_cdc-data-nutrition-physical-activity-obesity__Nutrition__Physical_Activity__and_Obesity_-_Behavioral_Risk_Factor_Surveillance_System,regression__hard__spittman1248_cdc-data-nutrition-physical-activity-obesity__Nutrition__Physical_Activity__and_Obesity_-_Behavioral_Risk_Factor_Surveillance_System.json,classification,Class,naive_bayes,failed,"Input X contains NaN.
GaussianNB does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__taweilo_mba-admission-dataset__MBA,regression__hard__taweilo_mba-admission-dataset__MBA.json,regression,gpa,linear,success,,,,,,692.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/hard/taweilo_mba-admission-dataset/MBA_processed.csv,/home/joshua/Code/ai_projects/amalia/backend/models/regression_linear_MBA.joblib,3.0,"['1:handle_missing_values', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,,,0.1038,0.0833,0.0108,0.2873,2.4765
regression__hard__valakhorasani_tehran-house-prices-dataset__TehranHouse,regression__hard__valakhorasani_tehran-house-prices-dataset__TehranHouse.json,regression,Price(USD),linear,success,,,,,,3479.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/hard/valakhorasani_tehran-house-prices-dataset/TehranHouse.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/regression__hard__valakhorasani_tehran-house-prices-dataset__TehranHouse.pkl,3.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,,,0.0026,0.0021,0.0,1.0,0.0
regression__mid__CooperUnion_cardataset__data,regression__mid__CooperUnion_cardataset__data.json,regression,MSRP,linear,failed,"Input X contains NaN.
LinearRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset ,regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset .json,regression,diagnosed_diabetes,ridge,success,,,,,,97297.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/mid/alamshihab075_health-and-lifestyle-data-for-diabetes-prediction/Diabetes_and_LifeStyle_Dataset .csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset .pkl,3.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,,,0.1363,0.0805,0.0186,0.9226,
regression__mid__camnugent_california-housing-prices__housing,regression__mid__camnugent_california-housing-prices__housing.json,regression,median_house_value,linear,failed,"Input X contains NaN.
LinearRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
regression__mid__harlfoxem_housesalesprediction__kc_house_data,regression__mid__harlfoxem_housesalesprediction__kc_house_data.json,regression,,,failed,can't multiply sequence by non-int of type 'numpy.float64',,,,,,,,,,,,,,,,,,,,,,,,,
regression__mid__hrokrin_the-largest-diamond-dataset-currely-on-kaggle__diamonds,regression__mid__hrokrin_the-largest-diamond-dataset-currely-on-kaggle__diamonds.json,classification,total_sales_price,naive_bayes,success,,0.5443,0.6016,0.5443,0.5243,219703.0,22202.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/mid/hrokrin_the-largest-diamond-dataset-currely-on-kaggle/diamonds.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/regression__mid__hrokrin_the-largest-diamond-dataset-currely-on-kaggle__diamonds.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
regression__mid__lorenzozoppelletto_financial-risk-for-loan-approval__Loan,regression__mid__lorenzozoppelletto_financial-risk-for-loan-approval__Loan.json,regression,RiskScore,ridge,success,,,,,,20000.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/mid/lorenzozoppelletto_financial-risk-for-loan-approval/Loan.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/regression__mid__lorenzozoppelletto_financial-risk-for-loan-approval__Loan.pkl,3.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,,,1.9492,1.5056,3.7993,0.9372,3.0474
regression__mid__mirichoi0218_insurance__insurance,regression__mid__mirichoi0218_insurance__insurance.json,regression,charges,gradient_boosting,success,,,,,,1338.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/mid/mirichoi0218_insurance/insurance.csv,/home/joshua/Code/ai_projects/amalia/backend/models/regression_model.pkl,4.0,"['1:load_csv', '1:infer_data_types', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,,,3850.9558,2162.0931,14829860.2228,0.8988,26.6765
regression__mid__ranitsarkar01_porter-delivery-time-estimation__dataset,regression__mid__ranitsarkar01_porter-delivery-time-estimation__dataset.json,regression,,,failed,filter_rows: Unknown condition: notnull,,,,,,,,,,,,,,,,,,,,,,,,,
regression__mid__rupals_gpu-runtime__sgemm_product,regression__mid__rupals_gpu-runtime__sgemm_product.json,regression,,,failed,get_column_info: Column 'None' not found,,,,,,,,,,,,,,,,,,,,,,,,,
regression__mid__yasserh_uber-fares-dataset__uber,regression__mid__yasserh_uber-fares-dataset__uber.json,regression,,,failed,get_column_info: Column 'None' not found,,,,,,,,,,,,,,,,,,,,,,,,,
