dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,task,train_accuracy,test_accuracy,overfitting_gap,training_samples,features,model_saved,train_r2,test_r2,rmse,mae,mse,r2_score,mape
classification__easy__yasserh_heart-disease-dataset__heart,classification__easy__yasserh_heart-disease-dataset__heart.json,classification,target,logistic,success,,0.868,0.8531,0.9152,0.883,303.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/yasserh_heart-disease-dataset/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__easy__yasserh_heart-disease-dataset__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__easy__yasserh_wine-quality-dataset__WineQT,classification__easy__yasserh_wine-quality-dataset__WineQT.json,classification,,,failed,Workflow has no executable steps,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__abhishek14398_loan-dataset__loan,classification__hard__abhishek14398_loan-dataset__loan.json,classification,total_il_high_credit_limit,naive_bayes,failed,Input y contains NaN.,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets.json,classification,cyberbullying_type,logistic,success,,0.8899,0.8949,0.8899,0.8889,47692.0,6.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/andrewmvd_cyberbullying-classification/cyberbullying_tweets.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__hard__andrewmvd_cyberbullying-classification__cyberbullying_tweets.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__balaka18_email-spam-classification-dataset-csv__emails,classification__hard__balaka18_email-spam-classification-dataset-csv__emails.json,classification,target,svm,success,,0.987,0.9743,0.987,0.9806,5172.0,7.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/balaka18_email-spam-classification-dataset-csv/emails.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__hard__balaka18_email-spam-classification-dataset-csv__emails.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data,classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data.json,classification,CSAT Score,logistic,failed,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__hetulmehta_website-classification__website_classification,classification__hard__hetulmehta_website-classification__website_classification.json,classification,Category,logistic,success,,0.5682,0.6073,0.5682,0.5198,1408.0,16.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/hetulmehta_website-classification/website_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__hard__hetulmehta_website-classification__website_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1,classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1.json,classification,Durability,gradient_boosting,failed,"Input X contains NaN.
GradientBoostingClassifier does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions,classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions.json,classification,,,failed,"random_state must be an integer, array-like, a BitGenerator, Generator, a numpy RandomState, or None",,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets,classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets.json,classification,labels,logistic,success,,,,,,1985.0,288.0,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/prox37_twitter-multilabel-classification-dataset/mLabel_tweets.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets.pkl,2.0,"['1:encode_categorical', '2:train_classification_model']",classification,0.2906,0.2907,-0.0001,7936.0,"['ID', 'tweet']",/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets.pkl,,,,,,,
classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset,classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset.json,classification,"Paper Plane Design Framed Wall Hanging Motivational Office Decor Art Prints (8.7 X 8.7 inch) - Set of 4 Painting made up in synthetic frame with uv textured print which gives multi effects and attracts towards it. This is an special series of paintings which makes your wall very beautiful and gives a royal touch. This painting is ready to hang, you would be proud to possess this unique painting that is a niche apart. We use only the most modern and efficient printing technology on our prints, with only the and inks and precision epson, roland and hp printers. This innovative hd printing technique results in durable and spectacular looking prints of the highest that last a lifetime. We print solely with top-notch 100% inks, to achieve brilliant and true colours. Due to their high level of uv resistance, our prints retain their beautiful colours for many years. Add colour and style to your living space with this digitally printed painting. Some are for pleasure and some for eternal bliss.so bring home this elegant print that is lushed with rich colors that makes it nothing but sheer elegance to be to your friends and family.it would be treasured forever by whoever your lucky recipient is. Liven up your place with these intriguing paintings that are high definition hd graphic digital prints for home, office or any room.",logistic,failed,Input contains NaN,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__shivamb_spam-url-prediction__url_spam_classification,classification__hard__shivamb_spam-url-prediction__url_spam_classification.json,classification,is_spam,logistic,success,,0.7968,0.6732,0.7047,0.6886,148303.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/shivamb_spam-url-prediction/url_spam_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__hard__shivamb_spam-url-prediction__url_spam_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__mid__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__mid__andrewmvd_cyberbullying-classification__cyberbullying_tweets.json,classification,cyberbullying_type,logistic,success,,0.8899,0.8949,0.8899,0.8889,47692.0,6.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/mid/andrewmvd_cyberbullying-classification/cyberbullying_tweets.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__mid__andrewmvd_cyberbullying-classification__cyberbullying_tweets.pkl,4.0,"['1:load_csv', '2:get_basic_stats', '3:train_classification_model', '4:evaluate_classification_model']",,,,,,,,,,,,,,
classification__mid__christianlillelund_csgo-round-winner-classification__csgo_round_snapshots,classification__mid__christianlillelund_csgo-round-winner-classification__csgo_round_snapshots.json,classification,round_winner,decision_tree,failed,"pos_label=1 is not a valid label. It should be one of ['CT', 'T']",,,,,,,,,,,,,,,,,,,,,,,,,
classification__mid__fedesoriano_heart-failure-prediction__heart,classification__mid__fedesoriano_heart-failure-prediction__heart.json,classification,HeartDisease,logistic,success,,0.8562,0.8672,0.874,0.8706,918.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/mid/fedesoriano_heart-failure-prediction/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__mid__fedesoriano_heart-failure-prediction__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__mid__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__mid__fedesoriano_stellar-classification-dataset-sdss17__star_classification.json,classification,,,failed,"random_state must be an integer, array-like, a BitGenerator, Generator, a numpy RandomState, or None",,,,,,,,,,,,,,,,,,,,,,,,,
classification__mid__nimapourmoradi_dry-bean-dataset-classification__Dry_Bean_Dataset,classification__mid__nimapourmoradi_dry-bean-dataset-classification__Dry_Bean_Dataset.json,classification,Class,logistic,success,,,,,,2723.0,7.0,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/mid/nimapourmoradi_dry-bean-dataset-classification/Dry_Bean_Dataset.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__mid__nimapourmoradi_dry-bean-dataset-classification__Dry_Bean_Dataset.pkl,3.0,"['1:load_csv', '2:get_basic_stats', '3:train_classification_model']",classification,0.8803,0.8707,0.0096,10888.0,"['Area', 'Perimeter', 'MajorAxisLength', 'MinorAxisLength', 'AspectRation', 'Eccentricity', 'ConvexArea', 'EquivDiameter', 'Extent', 'Solidity', 'roundness', 'Compactness', 'ShapeFactor1', 'ShapeFactor2', 'ShapeFactor3', 'ShapeFactor4']",/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__mid__nimapourmoradi_dry-bean-dataset-classification__Dry_Bean_Dataset.pkl,,,,,,,
classification__mid__tanishqdublish_text-classification-documentation__df_file,classification__mid__tanishqdublish_text-classification-documentation__df_file.json,classification,Label,logistic,success,,0.9996,0.9996,0.9996,0.9996,2225.0,5.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/mid/tanishqdublish_text-classification-documentation/df_file.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__mid__tanishqdublish_text-classification-documentation__df_file.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__mid__uciml_iris__Iris,classification__mid__uciml_iris__Iris.json,classification,Species,logistic,success,,,,,,30.0,3.0,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/mid/uciml_iris/Iris.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__mid__uciml_iris__Iris.pkl,2.0,"['1:encode_categorical', '2:train_classification_model']",classification,1.0,1.0,0.0,120.0,"['Id', 'SepalLengthCm', 'SepalWidthCm', 'PetalLengthCm', 'PetalWidthCm']",/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__mid__uciml_iris__Iris.pkl,,,,,,,
classification__mid__uciml_pima-indians-diabetes-database__diabetes,classification__mid__uciml_pima-indians-diabetes-database__diabetes.json,classification,Outcome,logistic,success,,0.7656,0.6947,0.5858,0.6356,768.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/mid/uciml_pima-indians-diabetes-database/diabetes.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421164615_4d958e70mistral_final/models/classification__mid__uciml_pima-indians-diabetes-database__diabetes.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__mid__xhlulu_cpc-codes__titles,classification__mid__xhlulu_cpc-codes__titles.json,classification,class,logistic,failed,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
